compound,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_DMSO,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,SC10_PLX,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_DMSO,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX,WM88_PLX
6.51_253.9485n,108833.0249,115097.3094,107709.2842,108720.8569,116734.0563,111916.3105,101158.7396,102882.7074,126381.6254,121536.1937,114875.709,104966.0601,99412.00119,100946.4412,99773.38833,94704.0321,133809.6972,127217.6122,88316.78824,99594.05824,99234.27498,99130.2389,107745.7504,108975.4259,107939.7632,97080.51544,110157.7255,104571.1783,106725.6572,106889.0685,85303.15863,83985.50621,87818.00801,83660.36042,82288.1629,85723.08002,82870.33193,78698.85313,83755.73336,89572.04161
11.78_253.9318n,584002.5488,627016.7909,621722.4445,791267.2126,511836.9417,645761.3585,608849.6072,716165.17,602273.7016,760401.4462,639980.647,812054.0821,621194.4752,723059.5884,692608.5501,825090.9438,712860.964,860056.8528,696971.4964,819215.5921,390787.6373,563643.2323,727256.2159,813472.0708,405850.9623,652357.5749,570354.7566,731566.0994,666344.0407,753255.6515,283752.6841,409308.6233,271341.6553,421042.6897,359054.8225,566394.5972,282454.4939,464651.3815,298538.1333,422746.5595
13.09_427.8972n,972610.6552,749177.1912,996815.0194,991960.8798,1034501.095,1072125.249,1012469.142,972477.0376,986841.166,927764.2727,689257.034,761477.8782,833448.9907,911757.0175,769814.5827,863758.9391,909801.4031,919397.6018,717740.2648,846865.5024,568607.9411,541162.1962,826502.3888,839997.0918,625437.4654,600030.0608,761007.3775,779900.7132,718836.3642,752675.7221,442558.313,403898.6883,445264.0651,425046.5038,514080.0196,512602.4548,425051.4645,439378.0712,466016.0362,412731.6774
1.37_326.0295n,51407.93792,47494.39416,57564.52347,57538.45263,24440.0154,20750.34348,56494.52592,52836.27666,64233.32506,57135.391,72373.12788,66960.10741,70166.27774,62052.38733,69604.31494,72488.92205,67035.50491,62184.40335,62886.04226,59858.81868,0,0,0,0,0,0,0,0,0,0,16217.54776,16487.48803,17363.49689,18487.24629,15555.85927,15885.84813,16790.92399,15333.84608,15682.73896,13925.83311
13.02_273.0067n,1188.973582,698.6855663,1447.002855,913.0358253,2385.557001,6681.846752,212.5398688,226.7550184,214.3497238,187.2689756,1083.822098,767.2868526,2521.418906,1453.625321,2234.020742,1329.335055,762.1309739,0,452.3156364,1647.940532,16966.05468,39375.18828,21729.23937,47685.22072,41653.41604,31466.9384,12839.52002,32355.43751,21432.7249,55938.33695,5795.433222,14862.94763,7751.170822,12901.46935,3894.872098,6849.41102,5986.139748,8095.407633,5606.139138,9381.133945
6.43_242.0467n,3048.31555,8704.88099,9451.836452,12959.62724,702.0176679,3480.753671,5026.152068,7907.309409,6825.386649,11110.98025,18026.88541,37125.08947,12881.78761,12024.11204,26920.40417,41503.59693,13826.38722,13916.50344,20786.64833,13829.65681,931.1239305,2202.932188,3056.115152,7087.752927,4561.353569,9518.17146,6066.527225,11656.08022,1085.180414,3472.764167,14804.80638,27073.55507,5318.279731,11271.0195,50375.07591,66946.50974,24675.16447,34843.19415,44325.21871,70827.09775
11.78_489.8592n,30620.05517,29615.08842,36335.14238,37869.32879,26265.38821,27631.39777,35411.69262,34065.55618,28349.19575,35798.79983,30453.53279,35852.39297,38145.55733,34150.13381,39038.49905,42153.54285,39166.68582,40891.27208,38749.25182,36009.97858,17636.26282,25088.32477,34724.7168,32712.58904,12149.32402,29286.18295,25160.85662,31463.06373,33941.41658,33990.12638,11630.44389,15738.80319,12240.1664,16822.84302,14400.78809,26421.25497,12617.93147,22283.47306,10742.07766,17767.82785
12.97_489.8597n,160095.0957,108835.6467,168931.7607,133947.3995,173052.6121,132384.856,164668.2866,134600.1976,154465.5371,127751.6657,104048.6075,96052.10627,136931.4231,129214.0378,124869.6216,109681.5489,151217.5124,129083.8489,116178.2783,105427.0522,84246.13272,54772.31737,122965.9757,94438.61715,92065.73551,67940.68802,124905.5961,101133.2045,108023.6439,81633.97536,71931.62559,50784.90512,75911.89744,55214.03226,94008.68998,65891.89867,68975.25972,59972.58345,82577.48303,62856.9148
13.02_500.0495n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79517.35325,65311.87839,71222.66234,76954.28588,62372.66736,66029.5226,48880.51766,46072.23418,41449.04614,46029.7315,8199.086227,8085.170854,14099.87643,13099.81896,2282.723427,3311.647945,5846.104898,10076.52206,9237.134385,10967.60098
13.02_542.9519n,36873.08391,24225.958,38580.49356,29417.73261,52888.28811,34506.63117,28292.9801,17600.17603,24881.63643,18295.23228,49000.96141,36371.00095,49403.35369,38984.41953,44769.93568,32102.61425,38799.88091,28365.4665,38592.82165,33905.15867,137708.9409,83112.61256,161886.8259,109136.9301,130592.3216,92639.20044,145482.8526,99518.27201,138892.1051,87185.80029,113842.0762,76791.65026,111627.1996,83420.89196,96811.13247,74587.37085,111206.0041,73127.36451,118485.1087,88026.49156
13.02_544.9479n,28654.31035,14469.2432,34998.64932,21465.83008,52465.85876,30123.46394,16537.18552,8954.524752,15840.54602,8310.270508,29321.39189,16486.53759,37036.58011,28323.30085,23532.5512,14036.01686,21193.55233,9963.032354,21599.64847,15523.08296,222114.4646,118424.6631,219443.1703,148266.619,191729.4316,133601.9899,197666.2909,130507.2357,188605.6592,118399.5946,117227.4221,73897.59215,124938.6113,80021.36614,81025.69599,59653.10735,104794.2129,70191.60326,125238.7159,98330.91507
12.98_349.9197n,1672510.464,1355384.44,1745856.316,1837706.56,1833300.406,2007697.272,1704353.701,1725727.012,1638395.489,1688023.157,1169483.515,1367041.237,1405776.409,1618103.252,1323421.471,1561814.911,1493711.255,1593023.956,1213014.885,1512906.981,1070974.855,1060975.65,1499374.652,1632363.654,1161315.404,1177700.909,1378102.634,1458516.86,1313098.552,1438780.516,820197.6125,784521.6081,819351.757,834120.8815,926923.1338,962319.5495,796687.1291,882343.7497,845643.701,793687.1365
13.02_466.9703n,47416.58446,29895.77866,60137.93061,39943.10663,83192.83509,51565.19638,33247.57301,18069.97357,35433.54243,21044.87221,57756.10084,40604.91918,63983.99138,47233.53209,51130.09821,36100.51849,41589.32972,26717.10952,41363.33726,29483.22906,270122.4587,152591.8207,274369.7789,200862.6495,257752.662,173135.8003,265822.1445,163678.1394,248135.0291,151084.6965,175433.2542,116380.002,184411.5239,114915.6369,136711.972,94088.49592,165964.7619,115209.625,178589.2357,137988.3039
11.83_304.0909n,951354.1702,866080.0289,821375.3865,744010.6558,647297.3302,578685.1489,808161.9563,717672.4603,959806.3642,773798.5835,863106.4445,821577.3912,914014.4718,750088.4001,801675.7566,702433.0785,1106257.038,949210.1454,753203.6369,607140.7643,269522.0621,218256.5403,241311.4416,206234.8256,175051.1907,171169.0889,208595.9979,176968.9907,223807.2722,178511.4246,136684.1487,118060.0967,165659.6484,132460.2174,108192.4364,103972.5478,117629.1743,88053.3249,151824.3227,120351.0387
13.04_386.9971n,68073.77293,51115.79288,77772.59027,61936.21711,85685.58188,73205.73348,47849.68924,36467.94298,54551.09686,41843.70891,86521.83667,77597.59461,87454.99684,74205.83912,78947.71428,67127.05751,66143.27235,51529.59106,64420.20071,58546.70023,212053.332,141236.2154,247559.7104,202393.9059,220324.6006,183754.8253,235371.4579,183129.823,222176.3041,167660.343,184693.2063,145851.9692,197396.5145,147508.9391,166128.1751,139271.2348,179595.4526,141243.1159,188128.5813,164494.7578
9.20_238.0988n,38446456.52,38523861.31,34246668.39,35870097.63,39082343.26,44139102.78,35967789.72,37618038.23,32695236.2,33688017.55,43093654.24,43927239.94,41691070.5,42722202.18,42129181.53,44864833.76,34021180.47,34470074.14,43905907.34,45248920.76,45267417.49,47394105.54,44312502.17,45753607.84,51209803.26,50953830.77,46446683.02,47405350.18,47534992.74,48407702.59,72771959.94,74054428.79,66595943.39,66877393.45,83289143.28,86787660.4,83288743.38,82727700,74401801.68,76150998.92
12.99_429.8930n,328198.4924,242621.2671,355689.0516,298313.1417,366198.9776,309254.5995,331554.4514,285218.3161,331115.2032,275073.1418,221008.562,211910.5616,270770.3845,265006.9429,241322.2092,237191.931,285641.1546,259746.2327,215023.9677,228315.0375,211007.7703,159594.0242,272313.4483,242810.0869,219700.6346,181333.0799,275725.6196,234542.5737,255421.9297,225139.7917,164289.872,125681.7443,159530.5234,125344.977,172294.6321,154725.0548,151905.6236,131375.3051,172036.114,133905.1077
12.99_253.9317n,2120347.33,1905516.902,2299236.945,2590831.026,2375067.468,2816538.816,2162522.621,2366077.303,2095619.434,2353575.743,1577105.325,1991022.217,1814412.127,2259442.315,1789764.424,2267771.924,1858594.867,2188161.441,1645050.864,2163922.886,1445973.504,1574151.074,2077994.542,2426916.322,1641150.164,1787025.091,1931371.896,2157286.893,1848556.017,2129290.466,1151529.169,1202865.959,1144919.094,1257157.475,1313998.674,1481617.368,1131830.077,1353682.292,1177120.831,1186944.243
13.03_289.0134n,90401.86116,75646.32519,114330.6943,113566.0169,153510.673,154113.8854,58278.81878,50727.16131,66704.56421,64971.6757,117079.5963,132176.281,128526.0961,131520.2085,108481.9808,120362.3295,76531.56273,74882.65873,89703.03979,102107.8566,753925.9033,643688.0016,800877.5521,793123.2499,732850.8118,713639.4038,688440.4302,667515.4498,669187.601,653815.3071,400919.4276,382202.8197,435040.1509,427483.3229,294656.3826,317009.2911,369790.6143,376973.6932,417616.6406,397013.3618
1.41_250.1206n,20464.78503,19800.03486,211463.0442,206227.204,97558.08242,95351.48131,114380.1706,113657.5694,264954.724,266947.4015,59413.37587,61091.54878,50483.67513,50373.08082,60882.66555,64444.6113,211268.3829,203780.0102,83848.24599,86214.6287,3147.732601,3419.876875,6119.033006,5532.149044,3924.091971,3086.548389,3667.841844,3637.867052,4415.228499,4341.536395,10401.01016,9881.141373,4286.750791,3905.143188,5655.948931,5539.622758,6377.956413,5876.191081,7386.589193,7687.023833
13.02_413.8780n,58298.82533,40613.69074,63655.43754,53507.76918,73285.1877,58619.47348,53130.61744,44412.39854,55123.40634,47515.71667,38306.81669,35215.91251,48742.24194,42725.31579,42285.00894,37559.35635,45588.63009,34228.70466,36142.18629,38398.16067,44537.49429,23760.4075,56370.25112,39946.96716,44737.13621,32077.52527,56400.37058,41678.05785,48573.43719,33492.08075,36781.93305,26875.1702,35865.05224,26653.19683,38178.24554,30027.42159,34182.72708,27979.27429,39610.04513,29739.87733
